Date,Open,High,Low,Close,Volume
2022-10-06,123.409,123.824,120.335,120.79,5135127.8630271
2022-10-07,120.068,120.366,116.679,117.42,4553320.8099128
2022-10-10,118.379,118.547,115.661,116.363,6061425.8279146
2022-10-11,116.076,117.825,115.562,116.412,4091472.1483015
2022-10-12,116.61,117.41,115.819,116.185,3378561.3856698
2022-10-13,114.732,120.711,114.184,120.355,5907246.2302549
2022-10-14,120.365,121.096,118.428,118.626,3808715.6124229
2022-10-17,120.365,121.427,119.999,120.088,5523666.7635281
2022-10-18,121.551,122.48,120.385,121.491,5181384.8792858
2022-10-19,120.918,122.48,120.55,121.067,5976999.082629
2022-10-20,124.762,127.441,123.675,126.788,13785541.040621
2022-10-21,126.877,129.303,126.087,128.369,7287115.3280305
2022-10-24,129.358,131.542,128.32,131.127,5677811.9558117
2022-10-25,130.445,131.729,129.753,131.364,6028654.7071687
2022-10-26,131.68,134.262,131.245,133.419,5201306.603977
2022-10-27,133.953,134.793,132.861,133.182,4040777.8504473
2022-10-28,133.963,137.225,133.627,136.878,6036582.1105938
2022-10-31,136.433,137.135,134.986,136.661,4973873.9128852
2022-11-01,136.621,137.016,135.089,136.572,3633417.1853679
2022-11-02,136.127,138.518,135.188,135.218,5429233.1134083
2022-11-03,134.813,134.872,132.392,132.886,4495409.4784579
2022-11-04,134.052,136.107,133.35,135.346,4227785.2365312
2022-11-07,135.03,137.066,134.902,136.71,4091266.7279677
2022-11-08,137.362,139.27,137.086,138.39,5102879.9063827
2022-11-09,137.95,138.9,136.94,137.39,4720007.0
2022-11-10,140.26,141.37,138.29,141.23,5389025.0
2022-11-11,141.5,144.13,140.96,143.17,5871264.0
2022-11-14,142.63,146.08,142.18,144.2,5245624.0
2022-11-15,144.08,146.1609,142.0,144.34,4727107.0
2022-11-16,144.13,144.95,144.0081,144.52,3445302.0
2022-11-17,143.41,146.18,143.25,146.09,3955162.0
2022-11-18,146.56,148.31,145.94,147.64,4661735.0
2022-11-21,147.55,147.928,146.45,146.68,3476208.0
2022-11-22,147.6,149.35,147.02,149.1,7062060.0
2022-11-23,149.1,150.46,148.3,148.75,3658459.0
2022-11-25,148.27,149.49,148.101,148.37,2075156.0
2022-11-28,147.98,148.24,145.935,146.18,3538696.0
2022-11-29,145.91,147.1668,145.7,146.49,2754744.0
2022-11-30,146.19,149.64,145.67,148.9,6377582.0
2022-12-01,149.98,150.01,147.34,149.16,4495924.0
2022-12-02,148.13,149.16,147.73,148.67,2899995.0
2022-12-05,147.94,148.93,146.8,147.41,2784767.0
2022-12-06,147.3,147.8,146.7,147.5,2847610.0
2022-12-07,147.33,148.105,146.29,147.27,3971285.0
2022-12-08,147.9,149.153,147.365,147.78,2665687.0
2022-12-09,147.4,148.34,146.97,147.05,3047581.0
2022-12-12,147.82,149.21,146.9426,149.21,4032780.0
2022-12-13,150.37,153.21,149.95,150.57,8811553.0
2022-12-14,150.47,151.91,148.45,149.86,4205878.0
2022-12-15,148.52,148.98,141.58,142.36,6687744.0
2022-12-16,141.25,141.915,138.97,140.16,9834427.0
2022-12-19,140.16,140.44,137.195,138.87,5282860.0
2022-12-20,138.84,141.425,138.34,141.28,5156450.0
2022-12-21,141.84,143.09,140.975,142.14,3793700.0
2022-12-22,140.95,141.44,138.62,140.88,3337851.0
2022-12-23,140.59,141.8565,139.6,141.65,2092715.0
2022-12-27,141.73,142.72,141.23,142.42,2742525.0
2022-12-28,142.4,142.81,139.95,140.02,2539577.0
2022-12-29,140.58,142.26,140.45,141.06,2337207.0
2022-12-30,140.54,140.9,139.45,140.89,2858110.0
2023-01-03,141.1,141.9,140.48,141.55,3338829.0
2023-01-04,142.07,143.615,141.3675,142.6,3869236.0
2023-01-05,142.44,142.498,140.01,141.11,2866648.0
2023-01-06,142.38,144.25,141.58,143.7,3574042.0
2023-01-09,144.08,145.47,143.4,143.55,3987782.0
2023-01-10,143.61,144.85,142.9,144.8,2152172.0
2023-01-11,145.0,145.53,143.45,145.26,3268738.0
2023-01-12,144.88,146.66,144.52,145.55,2716118.0
2023-01-13,144.06,146.1,144.01,145.89,2455786.0
2023-01-17,146.42,147.18,145.01,145.19,2986461.0
2023-01-18,144.4,144.678,140.225,140.41,6445642.0
